GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
400831,0.0334,0.00229,0.4513,3.049562,1.3762212,13.64,C20orf202,chromosome 20 open reading frame 202
109910382,0.0338,0.00233,0.4977,3.045106,1.5156338,2229.49,RNA28SN3,"RNA, 28S ribosomal N3"
100873940,0.0343,0.00237,0.3646,3.039877,1.1082887,13.66,MYLK-AS2,MYLK antisense RNA 2
93145,0.0344,0.00238,0.3371,3.038786,1.0242822,33.77,OLFM2,olfactomedin 2
105369475,0.0353,0.00248,0.5341,3.026261,1.6163457,12.15,LOC105369475,uncharacterized LOC105369475
406924,0.0364,0.00257,0.4352,3.015079,1.3122296,11.71,MIR134,microRNA 134
6504,0.0378,0.00271,0.6152,2.999051,1.8450084,30.55,SLAMF1,signaling lymphocytic activation molecule family member 1
100653515,0.0408,0.003,0.3502,2.968114,1.0393335,222.91,CEP295NL,CEP295 N-terminal like
105373102,0.042,0.00312,0.37,2.956152,1.093836,44.09,LOC105373102,uncharacterized LOC105373102
541468,0.042,0.00312,0.3709,2.95557,1.0960958,25.96,LURAP1,leucine rich adaptor protein 1
80161,0.0439,0.00331,0.3525,2.937531,1.0355922,141.03,ASMTL-AS1,ASMTL antisense RNA 1
105374693,0.0481,0.00375,0.4546,2.898502,1.317711,13.39,LINC02211,long intergenic non-protein coding RNA 2211
150759,0.0492,0.00386,0.3984,2.889522,1.1510549,56.45,LINC00342,long intergenic non-protein coding RNA 342
