GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
7422,0.0169,0.00094,0.3086,-3.307902,-1.0206698,183.94,VEGFA,vascular endothelial growth factor A
100507639,0.0171,0.00095,0.6664,-3.305015,-2.2024971,18.27,LINC02432,long intergenic non-protein coding RNA 2432
1234,0.0174,0.000971,0.7257,-3.298864,-2.3939054,20.51,CCR5,C-C motif chemokine receptor 5
102724428,0.0174,0.00097,0.3472,-3.299084,-1.1455322,187.41,LOC102724428,salt inducible kinase 1B (putative)
10681,0.0176,0.000985,0.3816,-3.294761,-1.2573592,68.3,GNB5,G protein subunit beta 5
1117,0.0176,0.000992,0.4921,-3.292863,-1.6204468,40.17,CHI3L2,chitinase 3 like 2
6489,0.0176,0.000993,0.6686,-3.292423,-2.2012398,18.98,ST8SIA1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
22866,0.0177,0.000999,0.8186,-3.290798,-2.6939796,26.85,CNKSR2,connector enhancer of kinase suppressor of Ras 2
6096,0.018,0.00102,0.9708,-3.285336,-3.1893122,221.9,RORB,RAR related orphan receptor B
30818,0.018,0.00102,0.375,3.284781,1.2317733,41.07,KCNIP3,potassium voltage-gated channel interacting protein 3
653188,0.0181,0.00103,0.3054,3.282416,1.0025567,50.9,GUSBP3,GUSB pseudogene 3
3625,0.0184,0.00105,0.4451,-3.276145,-1.4582852,17.92,INHBB,inhibin subunit beta B
105369295,0.0184,0.00105,0.3663,-3.276058,-1.1999135,32.83,SETD4-AS1,SETD4 antisense RNA 1
100505635,0.0187,0.00107,0.3571,3.27065,1.1679908,21.07,DAAM2-AS1,DAAM2 antisense RNA 1
8840,0.0188,0.00108,0.4091,-3.269148,-1.3374649,44.57,CCN4,cellular communication network factor 4
79152,0.0191,0.0011,0.6702,-3.263179,-2.1871334,10.96,FA2H,fatty acid 2-hydroxylase
26,0.0193,0.00111,0.7043,-3.260525,-2.2964706,8191.86,AOC1,amine oxidase copper containing 1
107984169,0.0193,0.00112,0.4972,-3.259564,-1.6205816,17.14,LOC107984169,
115827,0.0194,0.00112,0.702,-3.258448,-2.2874365,20.1,RAB3C,"RAB3C, member RAS oncogene family"
102724288,0.02,0.00117,0.6983,-3.247256,-2.2674832,14.95,LOC102724288,uncharacterized LOC102724288
10316,0.0201,0.00117,0.358,-3.24552,-1.1619917,32.44,NMUR1,neuromedin U receptor 1
55312,0.0203,0.00118,0.3824,-3.242928,-1.2400408,232.04,RFK,riboflavin kinase
107984131,0.0205,0.0012,0.3781,3.238856,1.2247011,115.62,LOC107984131,uncharacterized LOC107984131
5792,0.0206,0.0012,0.3492,-3.238028,-1.1306286,5979.15,PTPRF,protein tyrosine phosphatase receptor type F
55321,0.0207,0.00122,0.3674,3.234887,1.1886037,165.56,TMEM74B,transmembrane protein 74B
11010,0.0212,0.00125,0.3767,-3.227764,-1.2157836,273.15,GLIPR1,GLI pathogenesis related 1
105376238,0.0216,0.00128,0.4241,-3.220557,-1.3659061,18.09,LOC105376238,uncharacterized LOC105376238
146664,0.0216,0.00128,0.5003,-3.219327,-1.6106888,25.95,MGAT5B,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B"
58529,0.0217,0.00129,0.5322,-3.217984,-1.7126725,16.17,MYOZ1,myozenin 1
254887,0.0217,0.00129,0.375,-3.217175,-1.2065025,43.31,ZDHHC23,zinc finger DHHC-type palmitoyltransferase 23
105369312,0.022,0.00131,0.7953,-3.213935,-2.5559827,18.67,LOC105369312,
23768,0.022,0.00131,0.6343,-3.213377,-2.0381806,95.1,FLRT2,fibronectin leucine rich transmembrane protein 2
64409,0.0225,0.00135,0.8174,-3.205761,-2.6205329,20.99,GALNT17,polypeptide N-acetylgalactosaminyltransferase 17
101928079,0.0225,0.00136,0.5102,-3.203482,-1.6343616,36.81,SLC44A3-AS1,SLC44A3 antisense RNA 1
6866,0.0225,0.00136,1.0403,-3.203783,-3.3329172,732.88,TAC3,tachykinin precursor 3
105371441,0.0227,0.00137,0.4067,-3.200792,-1.3018935,27.05,LOC105371441,
801,0.0229,0.00139,0.3442,-3.197673,-1.1007571,3523.04,CALM1,calmodulin 1
64072,0.023,0.00139,0.4195,-3.196188,-1.3409251,53.44,CDH23,cadherin related 23
8877,0.0233,0.00142,0.468,-3.191257,-1.493624,20.25,SPHK1,sphingosine kinase 1
102723696,0.0234,0.00143,0.3475,-3.18922,-1.1083523,32.77,LOC102723696,uncharacterized LOC102723696
2619,0.0234,0.00143,0.7113,-3.189009,-2.2683429,235.95,GAS1,growth arrest specific 1
100422997,0.0235,0.00144,0.3367,3.186654,1.0728227,38.89,MIR4257,microRNA 4257
125488,0.0236,0.00145,0.3829,-3.185477,-1.219583,40.68,TTC39C,tetratricopeptide repeat domain 39C
53834,0.0237,0.00146,0.435,-3.182838,-1.3845189,27.22,FGFRL1,fibroblast growth factor receptor like 1
79820,0.0237,0.00146,0.3703,3.182493,1.1784525,81.03,CATSPERB,cation channel sperm associated auxiliary subunit beta
644809,0.0237,0.00146,0.4065,-3.18232,-1.2934769,16.18,PAK6-AS1,PAK6 antisense RNA 1
6236,0.0242,0.00149,0.4159,-3.176076,-1.3210113,115.36,RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
105374292,0.0247,0.00153,0.4307,-3.168992,-1.3650313,37.56,LOC105374292,uncharacterized LOC105374292
25769,0.0247,0.00153,0.766,-3.16914,-2.4275305,27.93,SLC24A2,solute carrier family 24 member 2
5210,0.0248,0.00154,0.3357,-3.167928,-1.0633313,224.98,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
6934,0.0248,0.00154,0.3307,-3.166743,-1.0472481,334.14,TCF7L2,transcription factor 7 like 2
64283,0.0251,0.00157,0.5671,-3.162179,-1.7933488,50.92,ARHGEF28,Rho guanine nucleotide exchange factor 28
115196,0.0252,0.00157,0.3786,3.160519,1.1965039,576.17,ZNF554,zinc finger protein 554
5251,0.0253,0.00158,0.6582,-3.159152,-2.0793433,25.55,PHEX,phosphate regulating endopeptidase X-linked
11145,0.0255,0.00159,0.3175,-3.156827,-1.0024494,211.12,PLAAT3,phospholipase A and acyltransferase 3
4224,0.0255,0.0016,0.9511,-3.155979,-3.0016491,40.17,MEP1A,meprin A subunit alpha
135644,0.0256,0.00161,0.3449,3.154313,1.0878026,505.79,TRIM40,tripartite motif containing 40
91653,0.026,0.00165,0.3762,-3.147547,-1.1841826,39.97,BOC,"BOC cell adhesion associated, oncogene regulated"
107986193,0.026,0.00164,0.6525,-3.148307,-2.0543395,10.61,LOC107986193,uncharacterized LOC107986193
6674,0.026,0.00165,0.3234,-3.147441,-1.0180089,33.96,SPAG1,sperm associated antigen 1
3763,0.026,0.00165,0.6553,-3.147348,-2.0625456,41.15,KCNJ6,potassium inwardly rectifying channel subfamily J member 6
4057,0.0264,0.00168,0.8751,-3.142211,-2.7497896,108.37,LTF,lactotransferrin
54749,0.0264,0.00168,0.6277,-3.14152,-1.9720311,40.09,EPDR1,ependymin related 1
101927401,0.0267,0.0017,0.4518,-3.137818,-1.4176627,20.08,LOC101927401,uncharacterized LOC101927401
716,0.0267,0.0017,0.3623,-3.13785,-1.1367329,316.99,C1S,complement C1s
107986700,0.0272,0.00174,0.417,-3.131179,-1.305678,11.2,PRR15-DT,PRR15 divergent transcript
59,0.0274,0.00176,0.3612,3.127398,1.1296017,860.52,ACTA2,"actin alpha 2, smooth muscle"
